ubicacion,actualizado_dt,actas_contabilizadas_pct,global_contabilizadas,global_jee,global_pendientes,candidato_o_tipo,agrupacion,porcentaje_valido,porcentaje_emitido,cantidad_votos,electores_habiles,asistentes_totales,ausentes_totales,pendientes_totales,lat,lon
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,10.048,8.461,1392962,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,8.036,6.767,1114012,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,7.534,6.344,1044384,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",3.594,3.027,498286,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,3.518,2.962,487641,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.888,1.590,261690,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1.493,1.257,207014,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.295,1.091,179564,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.834,0.702,115558,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0.795,0.669,110210,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.724,0.610,100346,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.686,0.577,95044,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0.847,0.713,117437,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.88,0.741,121941,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.96,0.808,133100,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.083,0.912,150151,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.097,0.082,13482,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.084,0.070,11592,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.067,0.057,9325,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.057,0.048,7865,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.127,0.107,17628,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.135,0.113,18656,27325432,16465759,5093734.0,5765939.0,,
TODOS,2026-04-14 17:44:34,79.812,74038,2312.0,16416.0,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0.16,0.135,22195,27325432,16465759,5093734.0,5765939.0,,
