ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,43.96,43.972,284.0,0.0,284.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,12.58,12.586,81.0,0.0,81.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,9.386,9.4,61.0,0.0,61.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,7.22,7.236,47.0,0.0,47.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,4.888,4.926,32.0,0.0,32.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,3.749,3.719,24.0,0.0,24.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2.444,2.516,16.0,0.0,16.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,2.027,2.111,14.0,0.0,14.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1.333,1.323,9.0,0.0,9.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,1.305,1.278,8.0,0.0,8.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,1.25,1.197,8.0,0.0,8.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,1.166,1.149,7.0,0.0,7.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.916,0.878,6.0,0.0,6.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,0.861,0.823,5.0,0.0,5.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0.861,0.82,5.0,0.0,5.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.778,0.832,5.0,0.0,5.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,0.75,0.786,5.0,0.0,5.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0.611,0.597,4.0,0.0,4.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0.528,0.486,3.0,0.0,3.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.444,0.393,3.0,0.0,3.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0.444,0.408,3.0,0.0,3.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.361,0.33,2.0,0.0,2.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0.361,0.36,2.0,0.0,2.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.278,0.232,2.0,0.0,2.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0.222,0.205,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0.194,0.225,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.167,0.152,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0.167,0.196,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.139,0.146,1.0,0.0,1.0,Data real
ANTONIO RAIMONDI,2026-04-17 18:08:40,0.8478,39,0,7,46,904.3,0.0,887.24,0.0,646.62,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.111,0.088,1.0,0.0,1.0,Data real
